26-09-09 01:11:32.026 {main} INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.talib.journalApp.JournalAppApplicationTests], using SpringBootContextLoader
26-09-09 01:11:32.039 {main} INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.talib.journalApp.JournalAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
26-09-09 01:11:32.040 {main} INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.talib.journalApp.JournalAppApplicationTests]: JournalAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
26-09-09 01:11:32.172 {main} INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.talib.journalApp.JournalApplication for test class com.talib.journalApp.JournalAppApplicationTests
26-09-09 01:11:32.269 {main} INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
26-09-09 01:11:32.286 {main} INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3401a114, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5066d65f, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4233e892, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@77d2e85, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3ecd267f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@58ffcbd7, org.springframework.test.context.transaction.TransactionalTestExecutionListener@555cf22, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6bb2d00b, org.springframework.test.context.event.EventPublishingTestExecutionListener@3c9bfddc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1a9c38eb, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@319bc845, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4c5474f5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2f4205be, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@54e22bdd, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@3bd418e4]
26-09-09 01:11:32.590 {main} INFO  c.t.j.JournalAppApplicationTests - Starting JournalAppApplicationTests using Java 17.0.12 on LAPTOP-BEGFFELQ with PID 23964 (started by abu sufiyan in C:\Users\abu sufiyan\OneDrive\Desktop\AJAVA\journalApp)
26-09-09 01:11:32.590 {main} INFO  c.t.j.JournalAppApplicationTests - The following 1 profile is active: "prod"
26-09-09 01:11:33.169 {main} INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
26-09-09 01:11:33.223 {main} INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 48 ms. Found 2 MongoDB repository interfaces.
26-09-09 01:11:33.956 {cluster-ClusterId{value='6aa064ed4d298637883a45c9', description='null'}-srv-cluster0.tzfznpd.mongodb.net} INFO  org.mongodb.driver.cluster - Adding discovered server ac-ezor8bp-shard-00-01.tzfznpd.mongodb.net:27017 to client view of cluster
26-09-09 01:11:34.009 {main} INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.11.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='talibmohammadnaqiansari_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@1c52552f, com.mongodb.Jep395RecordCodecProvider@5dc769f9, com.mongodb.KotlinCodecProvider@1b0e9707]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.tzfznpd.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-h6eidb-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
26-09-09 01:11:34.021 {cluster-ClusterId{value='6aa064ed4d298637883a45c9', description='null'}-srv-cluster0.tzfznpd.mongodb.net} INFO  org.mongodb.driver.cluster - Adding discovered server ac-ezor8bp-shard-00-00.tzfznpd.mongodb.net:27017 to client view of cluster
26-09-09 01:11:34.024 {cluster-ClusterId{value='6aa064ed4d298637883a45c9', description='null'}-srv-cluster0.tzfznpd.mongodb.net} INFO  org.mongodb.driver.cluster - Adding discovered server ac-ezor8bp-shard-00-02.tzfznpd.mongodb.net:27017 to client view of cluster
